UR_id,dataset,split,n_sources,theta,method,sources_explored,shipping_time_total,shipping_rows_total,local_time_total,method_time_total,rows_final,coverage_final,penalty_final,runtime_total
20,MATHE,skewed_100,100,0.7,method1_full_scan_stats,1,0.0037407919953693636,472,0.06330324999726145,0.06704404199263081,10,0.9166666666666666,0.5650793650793651,0.13593101501464844
20,MATHE,skewed_100,100,0.8,method1_full_scan,100,0.28175562202522997,20180,21.62387124797533,21.90562687000056,10,0.9166666666666666,0.5333333333333333,21.95081400871277
20,MATHE,skewed_100,100,0.8,method1_full_scan_stats,1,0.004102791004697792,472,0.06364304199814796,0.06774583300284576,10,0.9166666666666666,0.5650793650793651,0.14047884941101074
20,MATHE,skewed_100,100,0.9,method1_full_scan,100,0.2901652909931727,20180,22.747376003950194,23.037541294943367,10,0.9166666666666666,0.5333333333333333,23.077869176864624
20,MATHE,skewed_100,100,0.9,method1_full_scan_stats,1,0.003895875001035165,472,0.06475120899267495,0.06864708399371011,10,0.9166666666666666,0.5650793650793651,0.13921689987182617
20,MATHE,skewed_20,20,0.7,method1_full_scan,20,0.09053987800143659,20254,22.757237376004923,22.84777725400636,10,0.9166666666666666,0.5650793650793651,22.86630415916443
20,MATHE,skewed_20,20,0.7,method1_full_scan_stats,1,0.0049993749998975545,2363,0.513623833998281,0.5186232089981786,10,0.9166666666666666,0.4888888888888889,0.5385787487030029
20,MATHE,skewed_20,20,0.8,method1_full_scan,20,0.0796640379994642,20254,22.250073457995313,22.329737495994777,10,0.9166666666666666,0.5650793650793651,22.346503019332886
20,MATHE,skewed_20,20,0.8,method1_full_scan_stats,1,0.010232874999928754,2363,0.5340907919962774,0.5443236669962062,10,0.9166666666666666,0.4888888888888889,0.5675201416015625
20,MATHE,skewed_20,20,0.9,method1_full_scan,20,0.08039674998872215,20254,21.702286250976613,21.782683000965335,10,0.9166666666666666,0.5650793650793651,21.79686212539673
20,MATHE,skewed_20,20,0.9,method1_full_scan_stats,1,0.005025125006795861,2363,0.51635616600106,0.5213812910078559,10,0.9166666666666666,0.4888888888888889,0.5428638458251953
